title,tokens,avgSentLength,ttr,adjectives,adverbs,nrSyllables,fk,class
eagleton-1992,7581,38.09547738693468,0.473,0.10143780503891307,0.06344809391900805,10619,15.795952709067034,early
eagleton-2009,6859,37.27717391304348,0.474,0.10088934246974778,0.060796034407348015,9823,15.847266801156213,late
eagleton-2018a,3656,28.5625,0.45299999999999996,0.08698030634573305,0.06564551422319474,5015,11.735644146608319,late
eagleton-2018b,3024,30.54545454545455,0.445,0.07804232804232804,0.05224867724867725,4005,11.950703463203466,late
eagleton-2019,4011,27.285714285714285,0.513,0.09174769384193468,0.03989030167040638,5582,11.47316878583894,late
eargleton-1988,5568,35.692307692307686,0.474,0.1271551724137931,0.06160201149425287,8538,16.42418103448276,early
eargleton-1998,2320,39.322033898305094,0.45799999999999996,0.10344827586206896,0.05560344827586207,3222,16.133351841028638,early
Moretti-1994,12965,28.620309050772622,0.44799999999999995,0.100578480524489,0.04913227921326649,17797,11.769730016881926,early
moretti-2000,4400,29.72972972972973,0.381,0.10340909090909092,0.06227272727272728,5846,11.682503685503686,early
moretti-2000b,1771,26.83333333333333,0.446,0.09316770186335403,0.048560135516657256,2192,9.480081874647095,early
moretti-2001,6354,22.692857142857147,0.449,0.08278249921309411,0.05870317909977967,7890,7.912716646431942,early
moretti-2003,6242,31.36683417085427,0.45,0.10157000961230377,0.05911566805511055,8188,12.12182213534832,early
Moretti-2015,1425,21.59090909090909,0.41200000000000003,0.08280701754385965,0.04631578947368421,1766,7.454173843700161,late
moretti-2017,7010,26.254681647940075,0.441,0.08302425106990015,0.04693295292439372,9341,10.373120421869242,late
moretti-2019,5803,26.257918552036198,0.436,0.09391693951404446,0.043081164914699294,7745,10.399511206171251,late
moretti-2020,4320,34.83870967741935,0.43799999999999994,0.09560185185185184,0.04467592592592592,6023,14.448809737156513,late
vanderWeel-2000,4484,28.929032258064517,0.43,0.09210526315789473,0.048171275646743984,6174,11.939691001697796,early
vanDerWeel-2002,5134,25.798994974874372,0.429,0.06875730424620179,0.036618620958317104,6845,10.20417523926606,early
vanDerWeel-2013a,1674,22.93150684931507,0.45799999999999996,0.13381123058542413,0.010752688172043013,2603,11.701794242320096,late
vanDerWeel-2015,4223,34.333333333333336,0.45,0.10490172862893678,0.050438077196305935,6406,15.699786881363961,late
vanDerWeel-2016,2417,26.855555555555554,0.46,0.10012412081092263,0.06412908564335952,3465,11.800091987312095,late
